cumulative_pod_deposit_amt,cumulative_num_pods,age_of_account,num_friends,num_pods_created,network_size,num_peer_review_positive,num_peer_review_negative,reputation_score
520,3,7,5,1,12,12,2,6
1200,10,5,12,4,24,29,0,9
100,1,6,3,0,4,1,3,5
0,0,4,3,0,0,0,0,2
0,0,2,0,0,0,0,0,3
15000,30,11,30,6,60,46,2,10
10000,20,10,0,10,61,42,5,8
10000,20,10,5,6,45,20,3,9
800,5,8,6,2,25,18,3,7
1500,12,6,15,4,35,30,1,9
300,2,3,4,1,10,5,2,6
100,1,5,3,0,4,1,3,2
0,1,4,2,0,6,0,1,2
12000,25,10,20,5,67,60,2,10
5000,18,9,5,8,40,45,4,9
5000,15,7,8,6,50,5,15,3
80,1,1,1,0,4,0,3,1
4000,14,10,4,2,60,20,30,2
5000,14,8,5,1,50,40,4,8
500,3,8,10,0,15,6,7,4
2000,8,15,23,3,34,45,11,7
100,1,2,5,0,5,5,0,6
700,2,4,3,0,10,8,4,6
8000,5,8,20,2,45,23,7,6
2000,10,8,15,3,40,35,5,7
6000,18,11,7,5,50,42,8,8
800,4,5,8,2,20,15,3,6
3000,15,7,10,4,45,38,6,8
100,1,3,2,0,10,8,1,4
500,3,6,5,1,15,10,2,5
900,6,9,9,3,25,4,20,1
200,2,4,3,0,12,5,1,4
4000,12,10,12,6,30,28,7,8
1100,7,7,6,2,18,15,3,6
2500,11,9,14,3,42,37,6,9
7000,20,12,8,6,55,45,9,9
900,5,6,10,2,22,17,4,5
3500,17,8,11,5,48,40,7,7
200,2,5,4,1,14,4,10,1
700,4,7,6,1,17,3,12,3
1000,7,10,11,4,28,23,5,7
300,3,5,3,0,13,6,2,4
5000,14,11,13,7,33,31,8,7
1300,8,8,7,3,21,18,3,6
600,3,6,5,2,16,13,3,5
700,2,4,3,1,11,7,2,4
8000,22,13,9,8,60,48,11,7
2500,9,6,7,4,27,20,3,8
2500,10,7,8,3,30,28,4,8
100,1,4,2,0,9,5,1,3
4500,16,9,14,6,35,32,6,6
1200,6,5,6,2,19,14,5,6
1800,9,7,8,3,26,21,4,6
700,3,4,5,1,14,9,3,4
900,5,7,9,2,23,19,4,6
100,1,3,3,0,11,7,1,4
6000,19,10,10,5,40,38,6,8
200,2,4,4,0,10,4,1,4
3500,13,12,12,5,38,35,3,8
800,4,6,7,2,18,15,3,6
1500,7,9,8,3,25,20,5,7
800,3,5,4,1,12,9,3,4
950,5,7,7,2,20,15,5,6
5000,15,11,13,7,37,34,6,8
220,4,6,4,1,13,11,1,5
1500,7,10,12,3,30,28,2,8
200,2,7,2,0,5,2,1,3
1000,5,8,8,2,20,15,4,7
2500,9,11,9,4,35,31,3,7
500,3,7,6,1,14,10,2,5
12000,24,11,21,5,68,60,4,9
400,4,3,7,0,11,8,1,4
3000,13,9,11,4,40,36,5,7
700,6,5,5,2,18,12,4,6
200,2,6,3,0,8,5,1,3
800,4,6,7,2,21,16,3,6
6000,21,12,8,6,51,43,7,8
600,3,8,7,1,17,14,2,5
1700,8,10,10,3,32,27,5,8
8000,23,14,10,7,57,50,6,9
250,1,5,2,0,6,3,0,2
1200,6,7,6,2,20,15,3,6
4500,16,10,13,6,40,36,5,8
2000,11,9,16,4,36,32,5,7
100,1,3,1,0,5,4,0,1
300,2,7,3,1,9,6,2,4
600,5,5,4,2,13,10,3,5
9000,28,13,18,8,62,55,7,8
6000,22,11,14,5,49,45,4,8
1800,9,8,11,3,28,22,6,7
700,3,6,6,1,16,12,3,5
100,1,4,1,0,7,5,1,3
1500,7,9,10,3,29,25,4,6
500,3,5,5,1,12,9,3,4
4000,16,10,17,5,45,40,5,8
2000,10,8,14,4,32,28,4,7
200,2,6,3,0,9,6,1,3
5000,19,13,15,7,43,39,4,8
900,4,7,6,2,20,15,3,6
