cumulative_pod_deposit_amt,cumulative_num_pods,age_of_account,num_friends,num_pods_created,network_size,num_peer_review_positive,num_peer_review_negative,reputation_score
4917,17,10,17,5,41,40,5,7
1359,6,4,6,1,26,21,2,6
2394,19,6,5,2,42,11,6,6
8,2,8,4,2,10,4,3,7
189,2,9,4,2,5,7,1,5
730,6,9,8,2,25,17,6,9
1163,3,2,2,4,7,4,1,8
10921,24,12,19,3,58,49,11,4
141,1,5,6,1,10,6,1,3
13,1,7,6,3,9,2,6,5
874,7,4,11,0,18,20,1,7
1127,3,7,7,1,19,20,14,4
3636,14,7,11,1,35,25,11,1
7,0,3,4,0,0,3,1,4
683,2,11,14,2,10,18,22,3
41,2,4,1,1,14,2,1,8
334,5,10,9,3,27,12,4,1
14,0,1,4,1,6,3,2,4
40,1,5,9,2,4,2,4,7
9224,24,14,26,5,56,47,30,8
13507,29,15,19,7,68,57,20,8
204,2,9,12,3,15,6,8,8
0,0,6,2,3,0,0,1,7
5731,22,10,15,3,46,34,23,4
3734,17,9,6,0,46,28,2,2
274,6,8,4,0,20,15,1,4
6,0,6,1,2,1,2,2,6
1526,3,8,15,1,16,38,5,6
5080,14,10,10,2,37,20,15,8
7282,20,10,11,0,61,56,5,9
6,0,4,8,6,2,2,1,6
598,4,7,4,3,18,8,1,4
2324,14,12,13,3,38,37,5,7
2278,16,7,12,2,33,32,2,7
562,4,8,7,6,21,19,3,3
3550,12,10,12,7,44,32,15,1
3,0,3,1,7,1,0,1,5
19,0,5,2,2,4,3,2,1
1785,5,9,7,4,17,24,3,7
14428,29,10,21,5,66,53,11,1
16,1,7,5,2,5,5,1,4
1030,2,9,8,0,16,7,4,2
3434,15,9,11,0,42,34,4,6
1893,13,8,8,2,39,16,6,9
11686,23,7,23,3,59,48,16,8
424,5,3,3,6,12,3,2,5
264,5,8,3,0,21,26,2,9
243,6,4,4,0,19,1,1,6
11897,30,15,30,7,67,60,6,5
639,11,9,22,0,41,32,5,4
1831,9,4,6,0,32,19,3,5
454,10,14,3,6,35,15,6,4
54,1,5,9,0,4,4,2,3
172,2,4,7,1,9,5,8,6
3324,20,10,16,0,46,40,7,6
6149,24,13,16,3,60,50,7,6
14,0,2,1,2,1,1,1,4
5275,16,12,11,5,39,47,5,7
